State,n,mean,sd,sem,ci95_low,ci95_high,min,max
Ordered_B_sublattice,30,-29.869287068,0.095419825,0.017421197,-29.904917416,-29.833656720,-30.011226611,-29.695696154
Disordered_full_lattice,30,-13.964307016,2.262000488,0.412982898,-14.808951879,-13.119662152,-19.950384359,-8.127691369
