X_nm,Y_nm,Z_compact,Z_exploded,Layer,Fitted_Peak_Brightness_au
7.273974858206178,10.051401559319832,8.0,14.4,1,119.88660624358032
6.48172919150412,9.7273371523551,8.0,14.4,1,147.03559726371495
7.019523290196496,9.290549781405332,8.0,14.4,1,118.40908577646071
6.483166306144238,9.335944639548416,8.0,14.4,1,142.4601329329776
6.7614303624528,9.293002903206691,8.0,14.4,1,120.0187613170388
7.440799484634743,7.905825461516376,8.0,14.4,1,133.25835016088516
6.229976951693678,8.94383529231316,8.0,14.4,1,150.14306038602086
7.435972610869634,8.701989176097216,8.0,14.4,1,132.7384116317706
6.48849202949086,8.907748894019019,8.0,14.4,1,121.88668382777848
6.627140233141879,9.13579279352773,8.0,14.4,1,161.87397898186407
7.695111747821334,9.066690931556373,8.0,14.4,1,90.48596593770743
7.572733898955364,8.500781578346269,8.0,14.4,1,145.6155667000961
7.009214130458787,10.085068755714993,8.0,14.4,1,142.33147909977788
6.627870904577017,9.529704114488956,8.0,14.4,1,144.3880978248199
5.840515939099351,8.772526968206915,8.0,14.4,1,136.86317623919007
7.539782009158068,10.451244835483948,8.0,14.4,1,86.68572365522151
6.90496219523513,8.7050591770465,8.0,14.4,1,112.51151722541084
7.264690385422578,10.45941026845455,8.0,14.4,1,117.51861418118848
6.374152989168769,9.129547870284265,8.0,14.4,1,151.80052948845528
7.149025347757077,10.299145031643002,8.0,14.4,1,134.5971541217698
6.511894795652747,7.747176904019597,8.0,14.4,1,157.90262343885018
7.703022755416681,9.452625270658766,8.0,14.4,1,111.23127638983028
7.830637807685715,8.448621371913848,8.0,14.4,1,86.79700064045255
7.683543434950396,10.268260470467029,8.0,14.4,1,132.23737669382632
7.567222296799607,8.912473554721732,8.0,14.4,1,114.20935308260292
8.069565968525954,9.597907462100885,8.0,14.4,1,114.7109059920462
7.305372331261378,9.66277980888615,8.0,14.4,1,96.19855699537544
6.37164011993973,8.347730020082679,8.0,14.4,1,134.24409721683645
7.410015910908753,10.28015139316337,8.0,14.4,1,116.97505594332942
7.41866410301726,9.460630094702964,8.0,14.4,1,139.4260393067472
6.894928317419099,9.910422770827848,8.0,14.4,1,148.78978771444673
6.773141775622605,8.521202399645382,8.0,14.4,1,146.21859546304836
6.094293279873661,9.146874870335246,8.0,14.4,1,154.29647857116254
6.336098754902629,8.740530505110616,8.0,14.4,1,141.82743271690964
6.619046722205472,9.91759888041173,8.0,14.4,1,133.53874790965727
6.636036271455104,8.716718971877405,8.0,14.4,1,131.3675174356986
6.738404705167904,10.067191057401628,8.0,14.4,1,132.97803813741564
5.848034203427814,7.572484808724045,8.0,14.4,1,94.4810336745012
5.83842633148083,8.364582819728628,8.0,14.4,1,112.29786669451308
8.482986935087775,10.190857131095475,8.0,14.4,1,136.49488323030226
7.816669142734201,8.83983060471546,8.0,14.4,1,100.91181374012574
7.535452354542879,10.036025736193965,8.0,14.4,1,136.5342840051609
8.085676547187887,10.016694790333464,8.0,14.4,1,78.51690051948344
6.217265948154132,8.554547475179987,8.0,14.4,1,137.3124316894615
5.8442410927624975,7.973041892196672,8.0,14.4,1,113.42484077595448
7.7242492185971665,7.891884895651661,8.0,14.4,1,111.53412944894475
6.349069111624068,9.538083271085014,8.0,14.4,1,124.7362278584636
6.216289364350601,9.33667549325325,8.0,14.4,1,127.46287567041328
7.16727359345014,9.097361412668688,8.0,14.4,1,114.55147219505037
7.172205351087309,8.31884725198343,8.0,14.4,1,117.55491110610976
7.816517127818371,9.218918185320414,8.0,14.4,1,92.5876990505808
7.148522417387308,9.888770706147538,8.0,14.4,1,142.44708949520668
7.801104284264726,10.044463525506078,8.0,14.4,1,83.01568110823615
6.760938778645486,8.930846323952643,8.0,14.4,1,111.51473644811722
7.550564858850001,9.65128651039347,8.0,14.4,1,102.18345967320208
8.491680294432811,9.394626754457368,8.0,14.4,1,121.99876206592565
6.890027088789058,9.104937077389152,8.0,14.4,1,123.62084078175202
7.965596060904924,9.44769128413773,8.0,14.4,1,131.01872587645963
7.027840923322272,9.686563728453727,8.0,14.4,1,98.8448079269174
6.514933977856342,7.345445440562678,8.0,14.4,1,103.6404342573208
8.220243349415647,9.40094170631987,8.0,14.4,1,84.96340787284441
7.824529379313988,8.066831879313888,8.0,14.4,1,109.20946009984952
5.957858967977664,8.973316878921805,8.0,14.4,1,92.5990772242402
6.897866611040898,9.507235113952492,8.0,14.4,1,118.58676391329443
8.344169258218999,9.987667031836937,8.0,14.4,1,124.90561874925184
6.106522325567985,8.763804913306055,8.0,14.4,1,139.6187686727215
8.768578850723356,10.181676813691624,8.0,14.4,1,57.6059886077499
6.500859757085134,8.522769054739328,8.0,14.4,1,142.34707945686813
7.312189235860497,8.496508790277415,8.0,14.4,1,102.52799920839328
7.293427971408917,8.0764775090106,8.0,14.4,1,92.2682545540074
6.768723179384945,8.115884782699522,8.0,14.4,1,115.89641662419687
7.022135323372319,8.875133806409908,8.0,14.4,1,79.84260359511406
7.154060265433628,8.699222591587077,8.0,14.4,1,115.24650397137026
7.437888500779461,9.07912358718866,8.0,14.4,1,131.67203902595526
7.034981850456072,7.710879619045821,8.0,14.4,1,82.05841912610354
