X_nm,Y_nm,Z_display,Layer,Sampled_Reconstruction_Intensity_au,Source
6.502465326141234,9.356775490676863,8.012315686426662,1,133.0,intensity-weighted sampled reconstruction pixel
7.282139718911054,8.118527146971823,8.06395251672175,1,59.0,intensity-weighted sampled reconstruction pixel
6.8891264759981725,9.711966168632394,8.165586450102738,1,60.0,intensity-weighted sampled reconstruction pixel
7.769956188912249,9.066365655874524,8.199149390888612,1,32.0,intensity-weighted sampled reconstruction pixel
8.616826899001737,6.659243468670175,7.86377588857159,1,48.0,intensity-weighted sampled reconstruction pixel
7.368917577966169,10.344724030956046,8.013129195313528,1,21.0,intensity-weighted sampled reconstruction pixel
9.899688555282424,9.308795313424575,8.153105045144295,1,14.0,intensity-weighted sampled reconstruction pixel
7.566306380108605,9.402786156875631,7.909472955251912,1,0.0,intensity-weighted sampled reconstruction pixel
9.432971069715034,6.840454877331987,7.972312159541015,1,0.0,intensity-weighted sampled reconstruction pixel
9.652688508302516,8.150211744382993,8.223385706695524,1,0.0,intensity-weighted sampled reconstruction pixel
7.503706168441389,7.8706679507507635,8.223121480491601,1,9.0,intensity-weighted sampled reconstruction pixel
8.160917315965802,10.02937967960467,8.186809132951984,1,37.0,intensity-weighted sampled reconstruction pixel
5.90661845592904,8.875240787384811,8.137286238620906,1,14.0,intensity-weighted sampled reconstruction pixel
8.611490685004581,9.557544224410131,7.893800030332491,1,126.0,intensity-weighted sampled reconstruction pixel
9.329354173841311,8.1346554645442,7.917591034070906,1,18.0,intensity-weighted sampled reconstruction pixel
6.03870203074207,7.311673806802952,8.021750106954242,1,9.0,intensity-weighted sampled reconstruction pixel
7.850411237978759,8.535065238956545,8.027957592298526,1,52.0,intensity-weighted sampled reconstruction pixel
9.215737600842283,6.4753753284782825,8.002531296904252,1,0.0,intensity-weighted sampled reconstruction pixel
7.428375359567946,9.576703003816398,8.062868328761502,1,0.0,intensity-weighted sampled reconstruction pixel
8.87839452340361,8.812881992322012,7.957828590411175,1,118.0,intensity-weighted sampled reconstruction pixel
6.181225866889361,9.308989840005196,8.114620112365145,1,59.0,intensity-weighted sampled reconstruction pixel
9.670072281302062,7.801899302563009,7.923432966180044,1,39.0,intensity-weighted sampled reconstruction pixel
9.114457813855427,10.298327836606042,7.922111418595322,1,18.0,intensity-weighted sampled reconstruction pixel
7.192443163263083,9.870436702027504,7.828523942470241,1,65.0,intensity-weighted sampled reconstruction pixel
8.097362033875102,9.37762811638916,7.8568076166133025,1,0.0,intensity-weighted sampled reconstruction pixel
7.176562019731978,7.163342460401293,8.161239604303825,1,9.0,intensity-weighted sampled reconstruction pixel
5.996909687795839,8.222420552987954,7.975289875747003,1,18.0,intensity-weighted sampled reconstruction pixel
9.348934253365396,6.348211957006009,7.874819181814304,1,45.0,intensity-weighted sampled reconstruction pixel
9.25150408074703,6.968529727568971,8.119296906010298,1,0.0,intensity-weighted sampled reconstruction pixel
8.053417121397343,9.007240473298182,8.024831317875755,1,14.0,intensity-weighted sampled reconstruction pixel
8.219796505733543,9.248317651716052,7.779731765254715,1,77.0,intensity-weighted sampled reconstruction pixel
8.943575778759408,10.268600197712482,7.915526270374888,1,0.0,intensity-weighted sampled reconstruction pixel
8.175373853574136,7.696781343075171,7.851420649115817,1,48.0,intensity-weighted sampled reconstruction pixel
7.155589574704528,7.866297906563755,8.071701516052107,1,111.0,intensity-weighted sampled reconstruction pixel
10.38423660809795,8.2184192121422,7.896514278689916,1,83.0,intensity-weighted sampled reconstruction pixel
7.300943961604789,7.144332285425323,7.799875518436574,1,0.0,intensity-weighted sampled reconstruction pixel
8.676968443154093,6.856782949796511,7.795270095030927,1,9.0,intensity-weighted sampled reconstruction pixel
6.2841351792341245,8.255202311369155,8.03759455706101,1,0.0,intensity-weighted sampled reconstruction pixel
9.968885530383291,7.299082106352997,7.779992789623881,1,91.0,intensity-weighted sampled reconstruction pixel
6.226298669744801,8.962034963395352,8.160444372042601,1,139.0,intensity-weighted sampled reconstruction pixel
9.892337022673509,8.10996530299143,7.841482674858347,1,21.0,intensity-weighted sampled reconstruction pixel
8.03864947742903,9.60486620057879,8.049020514189898,1,39.0,intensity-weighted sampled reconstruction pixel
7.438910741295826,9.081057541527116,7.974556492884943,1,150.0,intensity-weighted sampled reconstruction pixel
9.763081807069346,7.640560562785394,7.9737116997666755,1,37.0,intensity-weighted sampled reconstruction pixel
7.521511344778657,9.59874197228532,7.803026685485621,1,117.0,intensity-weighted sampled reconstruction pixel
6.2501904738491945,9.486105374817758,8.13926603509762,1,0.0,intensity-weighted sampled reconstruction pixel
8.540419401049192,7.927081130303601,8.180804142986496,1,50.0,intensity-weighted sampled reconstruction pixel
7.387403634008473,7.550173506357631,7.775067666996745,1,0.0,intensity-weighted sampled reconstruction pixel
7.483001365141936,9.009917969043734,7.852157920820674,1,76.0,intensity-weighted sampled reconstruction pixel
9.89030408264139,6.901978843864191,8.18579592684592,1,0.0,intensity-weighted sampled reconstruction pixel
8.087882561643658,7.184295772142937,8.022767061888027,1,24.0,intensity-weighted sampled reconstruction pixel
8.109576469314394,6.022926806531703,7.839018205994177,1,0.0,intensity-weighted sampled reconstruction pixel
8.517482817027995,9.40564336301874,7.863283608200213,1,129.0,intensity-weighted sampled reconstruction pixel
8.79616627033937,8.935805106106066,8.073593672349073,1,0.0,intensity-weighted sampled reconstruction pixel
6.366130924284068,9.095975939734048,8.103415738233561,1,117.0,intensity-weighted sampled reconstruction pixel
