atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region
0,497.06166115593135,409.2436867814429,5.6607787502346625,4.660665158549289,LM-like,4757.0,157.0,9.0,0.9148076923076923,0.07114669832507894,21.10644639379874,0.7275299995959874,0.6666666666666666,0.3824737672043715,Pt-rich
1,677.4297384386339,856.7594322585977,7.71489770346108,9.757191043288152,LM-like,4763.0,154.0,0.0,0.9353888452474469,0.22841587129367608,20.611226448631808,0.5349616912087278,0.6666666666666666,0.6235528934209058,ordered-intermetallic
2,366.14882659878606,571.1779854667816,4.169880035031608,6.504851320081776,Pt-like,5374.0,160.0,9.0,1.0343566547974208,0.2711391045608876,18.737955569692147,0.4692183476438793,0.6666666666666666,0.6269342165977606,ordered-intermetallic
3,515.2144254883151,654.2179234009773,5.867511215482147,7.450550320454359,LM-like,4283.0,165.0,0.0,0.8245259408990279,0.37054297986662543,19.902230092507146,0.5279161519588442,0.6666666666666666,0.6282949302860149,ordered-intermetallic
4,281.6190817686795,699.0706511042118,3.2072143927363443,7.961354890016366,LM-like,4782.0,160.0,0.0,0.8934977578475336,0.3822710528513952,19.15858603407141,0.5272433155185302,0.6666666666666666,0.6282169680834536,ordered-intermetallic
5,790.4860409138722,411.65503239228354,9.002437589646677,4.688126729336251,Pt-like,4436.0,200.0,0.0,0.8325044571643051,0.39466930178301507,19.874270004517392,1.0,0.0,0.0332292700086347,Pt-rich
6,646.3561572430511,528.3669305080107,7.3610167227461645,6.017298307801245,Pt-like,6008.0,215.0,0.0,1.1312370551685182,0.40952842174193543,15.10265354128333,0.47239764716494476,0.6666666666666666,0.6249814840687558,ordered-intermetallic
7,577.2962473483032,495.07060194805223,6.574529047321381,5.6381036044022315,Pt-like,5422.0,172.0,0.0,1.019125041116489,0.41394290869011885,20.36191931681379,0.47880994523472853,0.6666666666666666,0.582229209002512,Pt-rich
8,384.841621934601,887.6583832179383,4.3827626346941715,10.10908325036044,Pt-like,5225.0,153.0,0.0,1.0202089231670408,0.431364577144676,19.934877919987887,0.46626709849080783,0.6666666666666666,0.6197254359845683,ordered-intermetallic
9,729.5575918186406,470.018320463282,8.30855492502724,5.3527960988020435,LM-like,5562.0,184.0,0.0,0.9528867568956656,0.4320079649930455,19.44185692640285,0.6962752102797573,0.8,0.4116248942766567,Pt-rich
10,420.86554526297,833.1763062008079,4.793020507335332,9.488614990688186,LM-like,4259.0,129.0,0.0,0.7985375457016968,0.4330560924093168,20.36119786102979,0.5301973171250647,0.6666666666666666,0.6258013447008767,ordered-intermetallic
