layer,lattice_i,lattice_j,x_ideal_px,y_ideal_px,x_completed_px,y_completed_px,atom_class,class_source,position_source,local_snr,local_prominence,refinement_shift_px,configured_radius_nm
1,-11,1,576.3567554489284,562.8990376868528,573.9411903797571,564.8615460671182,Pt-like,manual_label,lattice_completed,10.809639490767543,54.2543375516319,8.416032415292431,2.39
1,-11,2,564.3808881168096,580.9437731639117,570.6916132632211,576.5141669933192,LM-like,manual_label,weak_peak_refined,3.9533933400686796,40.10040789476566,7.710166191470957,2.39
1,-11,3,552.4050207846908,598.9885086409706,547.3823436271995,604.7758892397867,Pt-like,manual_label,weak_peak_refined,3.5331545184625632,31.311558465798672,7.662966789953996,2.39
1,-11,4,540.429153452572,617.0332441180294,538.0135883834007,618.9957524982948,LM-like,manual_label,lattice_completed,6.67084975200039,52.5747886057511,10.00991016931636,2.39
1,-11,5,528.4532861204532,635.0779795950882,526.0377210512819,637.0404879753536,Pt-like,manual_label,lattice_completed,5.074931974389002,53.659812643130145,9.704783149641388,2.39
1,-11,6,516.4774187883344,653.122715072147,514.0618537191631,655.0852234524124,LM-like,manual_label,lattice_completed,3.1355913991865996,49.20482393357984,8.077403464153182,2.39
1,-10,-1,611.7495603165573,543.8135141786718,615.4219666318529,536.8607995990575,LM-like,manual_label,weak_peak_refined,2.7932680160325156,35.20912727490341,7.863002490792166,2.39
1,-10,0,599.7736929844386,561.8582496557306,597.3581279152673,563.8207580359959,Pt-like,manual_label,lattice_completed,3.045653321828701,35.4878630607274,10.13900789411548,2.39
1,-10,1,587.7978256523198,579.9029851327895,585.3822605831485,581.8654935130548,LM-like,manual_label,lattice_completed,3.349139884982613,38.230233008412924,10.427484628557687,2.39
1,-10,2,575.821958320201,597.9477206098483,573.4063932510297,599.9102289901136,Pt-like,manual_label,lattice_completed,2.99414963722915,49.560108792319134,9.386244405277427,2.39
1,-10,3,563.8460909880822,615.9924560869072,561.4305259189109,617.9549644671725,LM-like,manual_label,lattice_completed,4.395651333172922,61.399901866943594,9.718821201710716,2.39
