Target_Element,Pt,Ir,Pd,Rh,Ru,Os,Ni,Co,Fe,Cr,Re,Au,Zr,W,Hf,Mo,Ce,La,Y,Sc
Ga,-33.76,-29.51,-25.63,-23.73,-23.69,-23.61,-16.96,-14.0,-9.61,-4.17,-23.62,-15.51,-6.91,-6.77,-4.26,-4.16,-15.51,-15.49,-11.38,-10.18
In,-42.95,-38.12,-33.71,-31.5,-31.46,-31.34,-23.61,-20.09,-14.73,-7.73,-31.36,-21.92,-3.49,-11.14,-1.68,-7.7,-10.19,-10.18,-6.91,-5.95
Sn,-31.55,-27.44,-23.72,-21.87,-21.83,-21.73,-15.39,-12.57,-8.41,-3.38,-21.75,-14.03,-7.92,-5.75,-5.05,-3.36,-17.05,-17.04,-12.71,-11.42
Zn,-33.75,-29.5,-25.62,-23.71,-23.68,-23.59,-16.95,-13.99,-9.59,-4.16,-23.6,-15.51,-6.91,-6.75,-4.26,-4.15,-15.52,-15.5,-11.39,-10.19
Bi,-31.37,-27.23,-23.56,-21.69,-21.63,-21.49,-15.21,-12.39,-8.23,-3.21,-21.51,-13.9,-7.84,-5.55,-4.96,-3.17,-17.06,-17.06,-12.72,-11.38
Hg,-29.37,-25.39,-21.83,-20.05,-19.99,-19.87,-13.85,-11.17,-7.25,-2.62,-19.89,-12.59,-8.97,-4.76,-5.89,-2.59,-18.65,-18.65,-14.1,-12.71
