Target_Element,Pt,Ir,Pd,Rh,Ru,Os,Ni,Co,Fe,Cr,Re,Au,Zr,W,Hf,Mo,Ce,La,Y,Sc
Ga,-32.06,-27.39,-24.67,-22.17,-21.57,-19.98,-15.48,-12.52,-7.98,-2.84,-20.22,-15.05,-6.89,-4.56,-4.19,-2.53,-15.13,-14.96,-10.92,-10.14
In,-39.68,-34.29,-31.53,-28.45,-27.63,-25.56,-20.67,-17.14,-11.57,-4.98,-25.86,-20.53,-3.07,-7.2,-1.09,-4.55,-10.17,-10.13,-6.88,-5.86
Sn,-29.08,-24.47,-22.17,-19.59,-18.87,-17.02,-13.2,-10.38,-6.04,-1.36,-17.29,-13.14,-7.75,-2.69,-4.77,-0.98,-16.93,-16.82,-12.54,-11.42
Zn,-31.89,-27.2,-24.55,-22.01,-21.38,-19.73,-15.32,-12.36,-7.81,-2.69,-19.98,-14.96,-6.86,-4.37,-4.15,-2.36,-15.21,-15.05,-11.01,-10.16
Bi,-26.72,-21.92,-20.22,-17.29,-16.31,-13.9,-10.94,-8.12,-3.71,0.82,-14.25,-11.56,-6.84,-0.09,-3.72,1.35,-17.0,-17.05,-12.69,-10.97
Hg,-25.67,-21.09,-19.29,-16.57,-15.7,-13.51,-10.49,-7.81,-3.66,0.53,-13.83,-10.91,-8.39,-0.34,-5.11,0.99,-18.65,-18.63,-14.1,-12.54
