0%_InSn_X,0%_InSn_Y,0%_PartZn_X,0%_PartZn_Y,0%_Pure_X,0%_Pure_Y,0%_Mean_X,0%_Mean_Y,0%_Mean_Std,12%_GaSn_X,12%_GaSn_Y,12%_GaIn_X,12%_GaIn_Y,12%_GaInSn_X,12%_GaInSn_Y,12%_FiveElem_X,12%_FiveElem_Y,12%_PartZn_X,12%_PartZn_Y,12%_Mean_X,12%_Mean_Y,12%_Mean_Std,25%_GaSn_X,25%_GaSn_Y,25%_GaIn_X,25%_GaIn_Y,25%_GaInSn_X,25%_GaInSn_Y,25%_FiveElem_X,25%_FiveElem_Y,25%_PartZn_X,25%_PartZn_Y,25%_Mean_X,25%_Mean_Y,25%_Mean_Std,37%_GaSn_X,37%_GaSn_Y,37%_GaIn_X,37%_GaIn_Y,37%_GaInSn_X,37%_GaInSn_Y,37%_FiveElem_X,37%_FiveElem_Y,37%_PartZn_X,37%_PartZn_Y,37%_Mean_X,37%_Mean_Y,37%_Mean_Std,50%_GaSn_X,50%_GaSn_Y,50%_GaIn_X,50%_GaIn_Y,50%_GaInSn_X,50%_GaInSn_Y,50%_FiveElem_X,50%_FiveElem_Y,50%_PartZn_X,50%_PartZn_Y,50%_Mean_X,50%_Mean_Y,50%_Mean_Std,62%_GaSn_X,62%_GaSn_Y,62%_GaIn_X,62%_GaIn_Y,62%_GaInSn_X,62%_GaInSn_Y,62%_FiveElem_X,62%_FiveElem_Y,62%_PartZn_X,62%_PartZn_Y,62%_Mean_X,62%_Mean_Y,62%_Mean_Std,75%_GaSn_X,75%_GaSn_Y,75%_GaIn_X,75%_GaIn_Y,75%_GaInSn_X,75%_GaInSn_Y,75%_PartZn_X,75%_PartZn_Y,75%_Mean_X,75%_Mean_Y,75%_Mean_Std,87%_GaSn_X,87%_GaSn_Y,87%_GaIn_X,87%_GaIn_Y,87%_PartZn_X,87%_PartZn_Y,87%_Mean_X,87%_Mean_Y,87%_Mean_Std,100%_Pure_X,100%_Pure_Y,100%_Mean_X,100%_Mean_Y,100%_Mean_Std
,,0.299,-27.2804,,,,,,,,,,,,0.041,-25.7085,0.038,-26.3495,,,,,,,,,,,,0.14,-27.7333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.101,-26.8578,,,,,,,,,,,,-0.137,-25.7007,-0.044,-25.6409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.226,-26.5463,,,,,,,,,,,,-0.328,-25.6625,0.247,-24.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.04,-26.1913,,,,,,,,,,,,-0.2,-25.5798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.191,-26.1768,,,,,,,,,,,,-0.064,-25.2467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.038,-25.9708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.305,-25.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.229,-25.5158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.092,-25.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.181,-24.8353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
