PurePt3Ga_Ga_pct_jitter,PurePt3Ga_Hf_kJ_mol,PurePt3Ga_Ga_pct_raw,PurePt3Ga_Composition,PurePt3Sn_Ga_pct_jitter,PurePt3Sn_Hf_kJ_mol,PurePt3Sn_Ga_pct_raw,PurePt3Sn_Composition,PurePt3In_Ga_pct_jitter,PurePt3In_Hf_kJ_mol,PurePt3In_Ga_pct_raw,PurePt3In_Composition,PurePt3Zn_Ga_pct_jitter,PurePt3Zn_Hf_kJ_mol,PurePt3Zn_Ga_pct_raw,PurePt3Zn_Composition,GaSn_Ga_pct_jitter,GaSn_Hf_kJ_mol,GaSn_Ga_pct_raw,GaSn_Composition,GaIn_Ga_pct_jitter,GaIn_Hf_kJ_mol,GaIn_Ga_pct_raw,GaIn_Composition,InSn_Ga_pct_jitter,InSn_Hf_kJ_mol,InSn_Ga_pct_raw,InSn_Composition,GaInSn_Ga_pct_jitter,GaInSn_Hf_kJ_mol,GaInSn_Ga_pct_raw,GaInSn_Composition,ZnBinTer_Ga_pct_jitter,ZnBinTer_Hf_kJ_mol,ZnBinTer_Ga_pct_raw,ZnBinTer_Composition,Quaternary_Ga_pct_jitter,Quaternary_Hf_kJ_mol,Quaternary_Ga_pct_raw,Quaternary_Composition
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.930812,-23.949968,12.500000,GaIn5Sn2,61.133672,-36.184227,62.500000,Ga5In2Zn,38.473925,-32.425807,37.500000,Ga3In2SnZn2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.469184,-26.606306,25.000000,Ga2In5Sn,1.090864,-24.530298,0.000000,InSn5Zn2,10.848956,-25.579850,12.500000,GaIn4Sn2Zn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.807282,-23.769077,12.500000,GaIn6Sn,64.751415,-37.389189,62.500000,Ga5InZn2,24.303608,-28.015333,25.000000,Ga2In4SnZn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.010902,-22.983122,0.000000,In3Sn4Zn,11.140748,-28.808913,12.500000,GaInSn3Zn3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.131012,-33.365427,50.000000,Ga4In3Zn,23.713577,-31.366161,25.000000,Ga2InSn2Zn3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.869805,-29.154215,12.500000,GaSn4Zn3,36.890266,-33.595456,37.500000,Ga3InSnZn3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.233351,-31.880697,25.000000,Ga2Sn3Zn3,14.542712,-26.980773,12.500000,GaIn3Sn2Zn2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.367136,-26.191345,0.000000,Sn5Zn3,26.398446,-29.564843,25.000000,Ga2In3SnZn2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.194492,-34.199434,37.500000,Ga3Sn2Zn3,10.989061,-25.246705,12.500000,GaIn5SnZn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.164247,-36.321148,50.000000,Ga4SnZn3,12.394499,-28.412475,12.500000,GaIn2Sn2Zn3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.903842,-24.431419,0.000000,In2Sn4Zn2,26.467836,-30.954285,25.000000,Ga2In2SnZn3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.634225,-38.686873,62.500000,Ga5Zn3,12.548851,-26.693073,12.500000,GaIn4SnZn2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.235313,-34.610912,50.000000,Ga4In2Zn2,12.234383,-29.972791,12.500000,GaInSn2Zn4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.172850,-22.894567,0.000000,In4Sn3Zn,26.677305,-32.172561,25.000000,Ga2InSnZn4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.201747,-30.544600,37.500000,Ga3In4Zn,13.239114,-28.067848,12.500000,GaIn3SnZn3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201475,-25.970798,0.000000,InSn4Zn3,13.868320,-29.504664,12.500000,GaIn2SnZn4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.282061,-24.372678,0.000000,In3Sn3Zn2,11.905186,-30.818557,12.500000,GaInSnZn5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.592142,-35.811725,50.000000,Ga4InZn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.193473,-31.907026,37.500000,Ga3In3Zn2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.516506,-22.741560,0.000000,In5Sn2Zn,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.025260,-30.507300,12.500000,GaSn3Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.242204,-27.704691,0.000000,Sn4Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.533364,-27.733326,25.000000,Ga2In5Zn,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.381265,-32.771715,25.000000,Ga2Sn2Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.502214,-34.856862,37.500000,Ga3SnZn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.050009,-25.654538,0.000000,In2Sn3Zn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.282755,-37.037528,50.000000,Ga4Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.723996,-33.067605,37.500000,Ga3In2Zn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.036468,-24.237327,0.000000,In4Sn2Zn2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.846851,-29.142161,25.000000,Ga2In4Zn2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.927912,-22.487147,0.000000,In6SnZn,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.486822,-24.950997,12.500000,GaIn6Zn,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383079,-27.280368,0.000000,InSn3Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.552041,-25.515811,0.000000,In3Sn2Zn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.320931,-34.293793,37.500000,Ga3InZn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.477535,-30.422574,25.000000,Ga2In3Zn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.838064,-23.875430,0.000000,In5SnZn2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.721320,-29.016673,0.000000,Sn3Zn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.757120,-26.349508,12.500000,GaIn5Zn2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.103182,-31.387704,12.500000,GaSn2Zn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.328545,-22.176001,0.000000,In7Zn,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.865531,-33.298792,25.000000,Ga2SnZn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.257193,-26.857782,0.000000,In2Sn2Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.720844,-35.460451,37.500000,Ga3Zn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.326851,-31.598108,25.000000,Ga2In2Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.878215,-25.187008,0.000000,In4SnZn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.026590,-27.680479,12.500000,GaIn4Zn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039774,-23.515173,0.000000,In6Zn2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.521516,-28.417712,0.000000,InSn2Zn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.089050,-32.768914,25.000000,Ga2InZn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.147625,-26.546346,0.000000,In3SnZn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.566027,-28.993504,12.500000,GaIn3Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.446179,-24.835339,0.000000,In5Zn3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786278,-29.959503,0.000000,Sn2Zn6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.123445,-31.809419,12.500000,GaSnZn6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105452,-27.973320,0.000000,In2SnZn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.498730,-33.985068,25.000000,Ga2Zn6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.479142,-30.209948,12.500000,GaIn2Zn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.664388,-26.176827,0.000000,In4Zn4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.645585,-29.350797,0.000000,InSnZn6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.013783,-31.339748,12.500000,GaInZn6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.192034,-27.523429,0.000000,In3Zn5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.995942,-30.480597,0.000000,SnZn7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.985486,-32.620065,12.500000,GaZn7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.154286,-28.798728,0.000000,In2Zn6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074062,-29.998673,0.000000,InZn7,,,,
