family_B_row,family_A_row,family_B_median,family_A_median,signed_fractional_contrast
-9,-8,0.9023719118818456,1.1027566539923954,0.19987221320462467
-7,-6,0.9424457100560064,1.0923423423423424,0.14733390252577605
-5,-4,0.9268018018018018,1.0743423560808234,0.14745619769355506
-3,-2,0.9520958083832336,1.0696310312204351,0.11627211009400526
-1,0,0.9423259343578068,1.1538678447222483,0.2018343079496017
1,2,0.9903827281648676,1.1124631992149163,0.11610976292701106
3,4,0.9454367026496564,1.0304499612102405,0.08605074381595407
5,6,0.9065553552793852,1.09494284053478,0.1882464702185384
