layer,x_px,y_px,x_nm,y_nm,display_z_base,brightness
1,638.7131851914476,882.5934692843672,7.273974858206178,10.051401559319833,8.0,119.88660624358033
1,569.147677597958,854.1380218000924,6.48172919150412,9.727337152355101,8.0,147.03559726371495
1,616.3703018781965,815.7845962811698,7.019523290196496,9.290549781405332,8.0,118.40908577646073
1,569.2738677604439,819.7706279902528,6.483166306144238,9.335944639548416,8.0,142.4601329329776
1,593.7076780489997,816.0000000005875,6.7614303624528,9.293002903206691,8.0,120.01876131703881
1,653.3617220081996,694.1947230400563,7.440799484634743,7.905825461516376,8.0,133.25835016088516
1,547.0418168955384,785.3402903828265,6.229976951693678,8.94383529231316,8.0,150.14306038602086
1,652.9378838760741,764.1042665821394,7.4359726108696345,8.701989176097216,8.0,132.7384116317706
1,569.7415088766807,782.171615917237,6.48849202949086,8.907748894019019,8.0,121.88668382777847
1,581.91593035892,802.1956946716977,6.627140233141879,9.13579279352773,8.0,161.87397898186407
1,675.6923732435284,796.127998367717,7.695111747821334,9.066690931556373,8.0,90.48596593770743
1,664.9466190761382,746.4366298155312,7.572733898955364,8.500781578346269,8.0,145.6155667000961
1,615.4650751787543,885.5497184693307,7.009214130458787,10.085068755714993,8.0,142.33147909977788
1,581.9800891563813,836.7842599882625,6.627870904577017,9.529704114488956,8.0,144.3880978248199
1,512.8440242565694,770.2980490398737,5.840515939099351,8.772526968206915,8.0,136.86317623919007
1,662.0531795330025,917.702907724074,7.539782009158068,10.451244835483948,8.0,86.68572365522151
1,606.3109212385666,764.3738372258496,6.90496219523513,8.7050591770465,8.0,112.51151722541083
1,637.8979342041904,918.4198980633018,7.264690385422578,10.45941026845455,8.0,117.51861418118847
1,559.7016264108419,801.6473404508124,6.374152989168769,9.129547870284263,8.0,151.80052948845528
1,627.741618563468,904.3473281308002,7.149025347757077,10.299145031643002,8.0,134.5971541217698
1,571.7964589705329,680.2641104850129,6.511894795652747,7.747176904019597,8.0,157.90262343885018
1,676.3870229993765,830.0161208602982,7.703022755416681,9.452625270658766,8.0,111.23127638983027
1,687.5926455237894,741.8565464030748,7.830637807685715,8.448621371913848,8.0,86.79700064045255
1,674.676582825618,901.6354165794847,7.683543434950396,10.268260470467027,8.0,132.23737669382632
1,664.4626563134075,782.5864789247679,7.567222296799607,8.912473554721732,8.0,114.20935308260293
1,708.5724494985088,842.7730595432663,8.069565968525954,9.597907462100883,8.0,114.7109059920462
1,641.4701345091133,848.469370577297,7.3053723312613785,9.66277980888615,8.0,96.19855699537544
1,559.4809763892875,732.9974785698038,6.37164011993973,8.347730020082679,8.0,134.24409721683645
1,650.6586779629042,902.6795347209819,7.410015910908753,10.28015139316337,8.0,116.97505594332942
1,651.4180584165691,830.7190084508977,7.41866410301726,9.460630094702964,8.0,139.4260393067472
1,605.429866494135,870.2144038081422,6.894928317419099,9.910422770827847,8.0,148.78978771444673
1,594.7360338179697,748.2297412945278,6.773141775622605,8.521202399645382,8.0,146.21859546304836
1,535.1277050246588,803.168789673295,6.094293279873661,9.146874870335246,8.0,154.29647857116254
1,556.3601602039953,767.4885036046098,6.336098754902629,8.740530505110616,8.0,141.82743271690964
1,581.2052553496791,870.8445236393145,6.619046722205472,9.91759888041173,8.0,133.53874790965727
1,582.6970736921576,765.3976604917115,6.6360362714551036,8.716718971877405,8.0,131.3675174356986
1,591.6858411314619,883.9799135337612,6.738404705167904,10.067191057401628,8.0,132.97803813741564
1,513.5041880115934,664.9247469610777,5.848034203427814,7.572484808724045,8.0,94.48103367450119
1,512.6605399905603,734.4772892030663,5.83842633148083,8.364582819728628,8.0,112.29786669451308
1,744.8741177782293,894.8387841469871,8.482986935087775,10.190857131095477,8.0,136.49488323030226
1,686.3660849901098,776.2078467622075,7.816669142734201,8.83983060471546,8.0,100.91181374012574
1,661.6730012200508,881.2433490055508,7.535452354542879,10.036025736193965,8.0,136.5342840051609
1,709.987087191521,879.5459373091942,8.085676547187887,10.016694790333464,8.0,78.51690051948344
1,545.9256890952664,751.1577056909306,6.2172659481541315,8.554547475179987,8.0,137.3124316894615
1,513.1711225498542,700.0968633930131,5.8442410927624975,7.973041892196672,8.0,113.42484077595448
1,678.250876280786,692.9706298309935,7.7242492185971665,7.891884895651661,8.0,111.53412944894475
1,557.499061288493,837.5200169716193,6.349069111624068,9.538083271085014,8.0,124.7362278584636
1,545.839937224533,819.8348027924515,6.216289364350601,9.33667549325325,8.0,127.46287567041328
1,629.343960523397,798.821111976778,7.16727359345014,9.097361412668688,8.0,114.55147219505037
1,629.7770082985725,730.4613404652011,7.172205351087309,8.31884725198343,8.0,117.55491110610976
1,686.352736864363,809.4947690838527,7.816517127818371,9.218918185320414,8.0,92.58769905058081
1,627.697457253501,868.3131793101871,7.148522417387308,9.888770706147538,8.0,142.44708949520668
1,684.9993658958202,881.9842544104457,7.801104284264726,10.044463525506078,8.0,83.01568110823615
1,593.6645130579901,784.1997550475227,6.760938778645486,8.930846323952643,8.0,111.51473644811722
1,663.0000000000001,847.4601670219214,7.550564858850001,9.65128651039347,8.0,102.18345967320208
1,745.6374642766046,824.9233871429714,8.491680294432811,9.394626754457367,8.0,121.99876206592563
1,604.9994994100209,799.4863159454294,6.890027088789058,9.104937077389152,8.0,123.62084078175202
1,699.4430598380853,829.5828773712879,7.965596060904924,9.44769128413773,8.0,131.01872587645963
1,617.1006566086676,850.5577889894403,7.027840923322272,9.686563728453727,8.0,98.84480792691741
1,572.063323481818,644.988874095281,6.514933977856342,7.345445440562678,8.0,103.6404342573208
1,721.8031289771143,825.4778904368452,8.220243349415647,9.40094170631987,8.0,84.96340787284441
1,687.0562766446177,708.3323745926592,7.824529379313988,8.066831879313888,8.0,109.20946009984952
1,523.1476809499006,787.9290095431714,5.957858967977664,8.973316878921805,8.0,92.5990772242402
1,605.6878721808181,834.8113019865557,6.897866611040898,9.507235113952493,8.0,118.58676391329445
1,732.6848151916655,876.9970678877705,8.344169258218999,9.987667031836935,8.0,124.90561874925184
1,536.2015130704017,769.5321828421294,6.106522325567985,8.763804913306055,8.0,139.6187686727215
1,769.9513727394203,894.0326788353268,8.768578850723356,10.181676813691624,8.0,57.6059886077499
1,570.8274943027104,748.3673061451984,6.500859757085134,8.522769054739328,8.0,142.34707945686813
1,642.0687132689419,746.0614448402868,7.312189235860497,8.496508790277415,8.0,102.52799920839327
1,640.4213241578057,709.1793380461847,7.293427971408917,8.0764775090106,8.0,92.26825455400741
1,594.3480457190217,712.6396119388237,6.768723179384945,8.115884782699522,8.0,115.89641662419687
1,616.5996592876015,779.3077503006805,7.022135323372319,8.875133806409908,8.0,79.84260359511406
1,628.1837246153934,763.8613383291529,7.154060265433628,8.699222591587077,8.0,115.24650397137026
1,653.1061143374981,797.2196849949164,7.4378885007794615,9.079123587188661,8.0,131.67203902595526
1,617.7276871392589,677.0769184818337,7.034981850456072,7.710879619045821,8.0,82.05841912610354
1,640.397809707384,780.5398986256761,7.293160177467697,8.88916610783314,8.0,111.31768243275921
1,639.6255946035546,814.9352912735783,7.284365818151789,9.280877484957722,8.0,89.90790853865748
1,745.1711228619102,860.2263638306046,8.486369372716343,9.796674137851701,8.0,90.22357173803339
1,674.2912708960214,865.3933348736559,7.679155316224442,9.855518104645606,8.0,115.21924554475568
1,675.9818623066838,726.3356304058606,7.698408589370778,8.271861669190276,8.0,126.22111559861615
1,687.7982729939336,849.113988919057,7.832979592829131,9.670121034525158,8.0,70.68483345342496
1,524.69334913844,648.1165549927364,5.97546178533487,7.3810649842640705,8.0,72.24983789869732
1,560.1568500742916,627.5051510285763,6.379337296553626,7.146332341031267,8.0,96.51575357564133
1,722.9146333706299,792.9089665219567,8.232901699361554,9.030031039046392,8.0,81.62622930911077
1,583.9933699570647,731.3613300760643,6.650799120662444,8.329096769221911,8.0,131.77033924765266
1,593.8479525877705,852.9656721724245,6.763027876786185,9.71398586743662,8.0,128.57779484696033
1,616.5939561983679,642.4687349133816,7.022070373832116,7.316744875937851,8.0,73.52405546144813
1,524.053415972071,750.5048664820243,5.9681739167406045,8.547112626327428,8.0,110.52888166945597
1,731.8072778645598,913.7043096297928,8.334175438453729,10.405706865264726,8.0,87.36297298625063
1,525.2050823601762,682.4756609708952,5.9812896509172955,7.772363111232681,8.0,94.61928133771548
1,592.4958966033763,641.7999114850369,6.747630008908411,7.309127991058763,8.0,92.96988700945637
1,642.4576883885692,678.1703111334514,7.316619072767321,7.7233317037098175,8.0,108.41218918054274
1,651.3407643673145,866.3267485837193,7.417783840977893,9.866148271701373,8.0,109.33298457081698
1,651.7628027831977,728.176238901485,7.422590218703462,8.292823409500928,8.0,103.88554612374047
1,570.2941268953758,609.3509916285981,6.494785510927251,6.939583988078874,8.0,58.5345332771812
1,664.5963473803199,674.6451877302533,7.568744835369398,7.683185892410727,8.0,106.94739495153803
1,695.5623216599693,897.7047748254795,7.921400336449297,10.223496419938337,8.0,83.98551071870891
1,605.88929239073,729.9917848082672,6.900160481868686,8.313499724920804,8.0,153.60793847052847
1,676.7903643637783,658.9428830794816,7.707616202071541,7.504360447917403,8.0,93.69522539215221
1,569.9177886508623,713.3622982570755,6.490499588869838,8.124115084235818,8.0,96.76678447104597
1,617.2798298799843,745.5238157203285,7.029881435246931,8.490386009673719,8.0,126.01457604413831
1,709.3112935209264,809.2957661732354,8.077980281816808,9.216651843866844,8.0,60.61823433247958
1,698.8683828598361,792.0000000000001,7.959051361361698,9.0196792884,8.0,100.35053272136736
1,768.4984875939202,858.7060475990356,8.752032691562635,9.779360040849554,8.0,115.00482904703597
1,628.5697968442323,832.9622948753101,7.1584570428153,9.486177726142637,8.0,97.96063170551534
1,709.4481549344489,772.7944472322683,8.079538925828084,8.80095715895381,8.0,100.93068095239768
1,756.330990231445,664.2712622591988,8.613463343138418,7.565042608685126,8.0,122.52709708955679
1,663.6545597932297,812.3317779181332,7.558019302549512,9.251227414895624,8.0,106.82603983534503
1,707.3843194409518,915.6083230101201,8.056034968434952,10.427390691087169,8.0,63.867145564044336
1,534.3789685513201,732.3145233433311,6.085766306564264,8.339952195447426,8.0,119.00054794432722
1,686.2383555402279,673.0980509988459,7.815214497944279,7.665566350576638,8.0,84.42057763515463
1,607.2432760256925,660.6345881089882,6.915580302764019,7.523626403494073,8.0,80.22757994337786
1,663.1584775811551,639.3950601463749,7.55236967823942,7.2817403801862755,8.0,72.41838990386242
1,755.7141296798719,909.4352096049522,8.60643823664744,10.357088288150884,8.0,59.46703492415435
1,708.9720048380899,737.2744444816406,8.074116298097909,8.39643817772433,8.0,101.04298560515751
1,676.6700910203953,760.8113162381612,7.706246471030811,8.664487463956673,8.0,93.30924475051657
1,744.1181718333266,927.9504173541036,8.474377856827182,10.56794843443301,8.0,94.13455112059529
1,559.3095110359981,697.1468827789561,6.369687389515812,7.9394460853206725,8.0,82.62903683325001
1,605.6371208595201,693.9513733189607,6.897288630432855,7.903054077123442,8.0,108.0600945192233
1,594.7345881690347,678.9291755400392,6.773125311872912,7.731974018824469,8.0,65.90052863140399
1,816.8259461033996,818.6188540162161,9.302409177142131,9.32282768013107,8.0,42.22640448867904
1,651.7573736145902,621.1099506170618,7.422528388703913,7.073500703787701,8.0,60.786708619914975
1,671.5251368274157,921.2378823309778,7.647653242780578,10.491502837058329,8.0,73.26442006189247
1,709.0319981136752,668.8213053774456,8.07479953055402,7.616860701709088,8.0,117.12862715695381
1,722.1374926320466,720.5865370250681,8.224051244533307,8.20638821149607,8.0,81.5941297329552
1,501.8689812114028,719.0646220996257,5.7155268375289126,8.189055907794403,8.0,71.46430690361171
1,630.7910376028932,662.0000000000027,7.1837536075443955,7.539176374900031,8.0,68.1589570972385
1,721.4331424039382,686.287489340639,8.216029763265315,7.815774057441663,8.0,63.383614555670555
1,698.0000000000001,863.9259070548763,7.949161797100001,9.83880632648365,8.0,77.44409830672849
1,618.3090582640248,607.6493432940263,7.041602786179461,6.920204793332059,8.0,98.00315304677855
1,581.5379866864353,696.4038717718312,6.622836027693782,7.930984316391357,8.0,79.04496507501294
1,546.5663895735728,714.8825515819682,6.224562555268081,8.141428464826292,8.0,84.22914476831878
1,559.6129014712927,662.8106181561707,6.373142546618749,7.548408086761128,8.0,72.36378965836579
1,699.1178945863528,688.9999999999999,7.961892921654471,7.846665441549999,8.0,80.55582089825175
1,805.4706627891982,733.5587886970543,9.173089715370645,8.354122491457844,8.0,61.83452226044064
1,844.0018047092243,791.8550486152576,9.611901006702036,9.018028511881331,8.0,85.03979791008692
1,779.9977992096533,841.0000000000001,8.88299241733446,9.57771500195,8.0,33.37436797300319
1,805.2014148688042,841.3363591941674,9.170023389750668,9.58154562323421,8.0,52.757692843184586
1,744.7577440140969,788.8521920045412,8.481661614342752,8.983830527566035,8.0,86.26933429089459
1,743.9069428434549,681.065892346297,8.471972278866254,7.756307983878231,8.0,83.46769927620569
1,733.3673667246612,666.5322172986471,8.351942485397569,7.5907914588635546,8.0,86.08703204052061
1,642.0895271795333,606.4698313775848,7.312426274747204,6.906771940802831,8.0,52.595089602900316
1,548.6274563705239,647.0862685937631,6.248034981405037,7.36933158414546,8.0,59.2227315424348
1,583.9201776264446,662.7491109261532,6.649965570979913,7.5477076126592655,8.0,83.91072835475698
1,583.3178428097114,626.2694671597031,6.64310589058702,7.132259775123331,8.0,95.0705564160048
1,719.424010350871,896.7128096331619,8.193148795125527,10.21219944026667,8.0,79.78257366257999
1,630.2505749056248,623.9426820369774,7.177598556790981,7.105761220098071,8.0,96.70819057657663
1,801.0191011405908,658.7358150071744,9.122393176983046,7.502002256499376,8.0,62.7751230389115
1,757.4140007528136,803.8643639235884,8.625797191078707,9.154796406520745,8.0,69.38451024663357
1,686.9374960352471,634.1847407650222,7.823176648250601,7.222402741537366,8.0,64.79860233921372
1,608.1358230124141,590.9474043600236,6.925745059796919,6.729995029848289,8.0,105.46076206001025
1,664.0161284201564,708.4989609004002,7.56213702105409,8.068729044805886,8.0,112.44582483273292
1,536.1890175211882,698.9662767863134,6.106380020206322,7.960166224772188,8.0,82.21687751115026
1,730.7176142075173,759.1342664294818,8.321765821384602,8.645388409127177,8.0,64.94629380028877
1,639.6725010462875,645.1433886327637,7.284900011422003,7.347205126892843,8.0,66.706593641427
1,788.1883976967949,672.9707989723278,8.976270916746167,7.664117142915031,8.0,92.4711484779773
1,767.987416996869,823.3527925060735,8.7462123722708,9.376740062643098,8.0,63.955388158758446
1,791.7434689122456,786.399274040403,9.016757788224433,8.955895510700781,8.0,68.53541773470262
1,891.7828620237193,816.7003210781592,10.156054811042193,9.300978498558463,8.0,111.04720604583372
1,698.5643285786917,619.6249857962254,7.955588644060957,7.05658920575929,8.0,55.59698080045449
1,663.8404180216327,601.2478941896269,7.5601359460006545,6.847301992949864,8.0,99.64198905221573
1,698.8654722232162,758.9999999999509,7.959018213623269,8.64385931804944,8.0,58.52743868223251
1,731.3435157320321,842.9999999998854,8.32889389085082,9.600491969848695,8.0,69.85140415561783
1,523.8370468842697,713.8553555516286,5.965709800856904,8.129730259321265,8.0,82.42107453739311
1,630.6490406771375,695.0372172722674,7.182136477834478,7.91542019355788,8.0,92.48773363284401
1,793.2859408951022,619.1399013053323,9.03432420564452,7.051064828820361,8.0,91.74194189840931
1,789.1675911893402,710.6262113859974,8.987422446119963,8.09295520281874,8.0,68.75862847689876
1,708.747196976146,634.1119240577071,8.071556077370328,7.221573469634817,8.0,94.78799447894619
1,791.8349000179292,858.6054645308449,9.017799049904042,9.778214552191821,8.0,39.098537649439116
1,722.0446059590258,861.4425444414734,8.22299340614844,9.810524591218881,8.0,71.84028640324948
1,733.5703211229425,701.535806915286,8.354253828304977,7.9894292774050335,8.0,90.53713580812092
1,755.7303649491625,841.9999999999999,8.60662313175118,9.589103485899999,8.0,46.32461216277677
1,631.0089625410834,586.4227500406827,7.186235442205279,6.6784660767531765,8.0,60.74116265317122
1,756.4490386448102,617.8934794303575,8.614807735599351,7.036869973302282,8.0,48.54753509422783
1,826.1545968125672,868.7905656350297,9.408648366018642,9.894207412645958,8.0,77.65268685000294
1,821.9999999999999,692.2049550818044,9.3613338069,7.883165021059601,8.0,57.57953263110542
1,755.1029413037901,875.5998999630176,8.599477727636005,9.971755407350432,8.0,64.85637103196353
1,769.7473340459545,788.0494163805353,8.766255159337641,8.974688130256594,8.0,62.698091079130606
1,616.5964351483824,709.623573979636,7.022098605314569,8.081536682808723,8.0,70.94914225959073
1,723.4074286961902,756.2065722909509,8.238513891017332,8.61204641142001,8.0,55.06423747476591
1,734.8720365234881,806.4175423901357,8.369078393251558,9.183873238508506,8.0,58.91688265806498
1,546.126832268432,678.1418941260773,6.219556663953381,7.723008077077431,8.0,85.22947889496818
1,617.8509294476981,571.2013818840461,7.036385393507693,6.50511776980428,8.0,67.77448547128047
1,597.0000000000001,572.8379817030473,6.798924918150002,6.523756160575547,8.0,51.35360593122661
1,850.0000000000001,832.4707423286275,9.680211357500001,9.48057968785416,8.0,66.07514057265186
1,814.0116602095159,803.2196620615016,9.270358727408926,9.147454229711835,8.0,53.649085664307265
1,781.2304652009861,876.4870011400033,8.897030614192465,9.981858144866559,8.0,40.001606849643075
1,802.970756668007,800.2772063553261,9.144619574632953,9.11394412012847,8.0,108.21402509558794
1,684.0000000000001,919.7466326432444,7.789723021800001,10.474519763924135,8.0,57.5632315223118
1,856.1802473867457,740.149409552675,9.750595005670982,8.429179671292616,8.0,63.81704390760008
1,815.0000000000001,749.4634030421117,9.281614419250001,8.53525193665747,8.0,37.92820929664622
1,777.7514543654524,912.2890089425016,8.857409955130112,10.389588736103086,8.0,35.773227518920656
1,537.2216700573471,663.9988199892952,6.118140367040293,7.561939904267027,8.0,95.44529139686303
1,862.7742152219772,657.9214901546003,9.825690302529333,7.492728330985749,8.0,49.49136740780594
1,700.9538548820422,723.8997004674599,7.982801726014766,8.244120120183474,8.0,93.02835546623075
1,653.348373677932,659.025700298605,7.440647467389732,7.505303610488173,8.0,71.47323064591988
1,699.6426702710602,655.245566754254,7.967869321117111,7.462253620289475,8.0,61.82906552343281
1,803.880343765013,880.0000000000001,9.154978392688333,10.021865876000001,8.0,42.08888171830955
1,603.9137437551931,894.190009132786,6.877661977940429,10.183468567259087,8.0,88.55111184214087
1,730.8271214712717,731.0949203785783,8.323012943100277,8.326062766657968,8.0,61.35457514519497
1,827.997927243275,679.0337837809586,9.429641105043304,7.733165348097217,8.0,56.569510310796865
1,768.8395795168343,716.388562796302,8.755917211452216,8.158579649369253,8.0,69.4398468194592
1,747.3440090135792,753.8803454911559,8.511115251779803,8.585554214846484,8.0,42.415229116474094
1,778.279229717995,735.2250813138212,8.86342051626175,8.373099038179898,8.0,44.26145798709686
1,763.9999999999999,645.1234290855265,8.700801737799999,7.346977817909481,8.0,66.29297216906406
1,741.5540323866272,572.9677312728702,8.445176195892884,6.525233811468995,8.0,67.54199633964696
1,891.9999999999999,784.1854922704055,10.1585276834,8.930683892544362,8.0,42.80365158405824
1,827.0898905084141,767.1608500335908,9.419299943262331,8.736799027675906,8.0,41.78540646276901
1,651.2062676062477,788.9999999999999,7.416252126773157,8.985513836549998,8.0,41.90381732951795
1,766.5314779207521,740.0000000000001,8.729631433470265,8.427478123000002,8.0,39.49604699598151
1,897.2372263350393,653.9490164896406,10.218171751459112,7.447487878410557,8.0,99.93224306198375
1,746.5758889089135,717.6141648726186,8.502367528296144,8.17253739894447,8.0,74.30227878597789
1,861.6188779671207,780.9999999999999,9.812532762745564,8.894405964949998,8.0,48.145359576608385
1,781.0711500255552,631.4712099586636,8.895216255874077,7.191499739501321,8.0,68.74330414322817
1,743.1878317075766,740.9818095161704,8.463782693237038,8.438659444916864,8.0,70.34757195078272
1,800.5005903277948,694.0576679201499,9.116488124913618,7.9042646114830575,8.0,59.431882119985524
1,836.4075169489554,598.7650515171205,9.525413582432531,6.819026179023649,8.0,119.4267848389809
1,537.8723048497385,629.6716347615221,6.125550110930754,7.171005306251857,8.0,75.68500710979312
1,872.3288404665482,712.0000000000001,9.934502998775395,8.108600572400002,8.0,32.767888943964635
1,559.3993437862376,592.1753461362583,6.3707104483501,6.743979425058472,8.0,46.69742416767181
1,791.9106464919565,893.0569683124403,9.018661687407771,10.170564950061886,8.0,47.76420717076079
1,676.1745288192802,619.860919363386,7.700602768857185,7.059276131402165,8.0,85.77446574832896
1,832.622935430509,637.9146230324249,9.482312936552237,7.264880445875071,8.0,76.17532240950597
1,684.5587771305363,558.1824857130606,7.79608664618274,6.356852279714295,8.0,46.311872285828784
1,603.871992559337,623.6582667750048,6.877186495116528,7.102522161451961,8.0,71.06860305282723
1,768.2585206973283,681.4161242041737,8.749299832412266,7.7602965937704385,8.0,102.80842327828557
1,870.0016971177206,836.6150899410197,9.908000364097923,9.52777752412111,8.0,36.870077368175544
1,757.7889835317906,773.6575162469886,8.63006767643861,8.810786206575694,8.0,55.002419143890435
1,794.7754666759432,821.6426115662144,9.051287646092739,9.357263694457918,8.0,42.6598309697695
1,907.9999999999834,713.6912833587478,10.340743426599811,8.127861725786001,8.0,89.5719470199478
1,868.4257776465361,819.9999999999999,9.890053030493846,9.338556838999999,8.0,32.833325916895696
1,661.9424362468607,566.1043269473312,7.538520811021271,6.447070041465234,8.0,52.26027590660385
1,766.9207268493542,765.4368770280096,8.734064388646205,8.71716558877161,8.0,103.00002104933368
1,689.6305053281593,566.9363833763726,7.853845941360132,6.456545902752866,8.0,25.3261605600128
1,771.195764375898,615.0922160815741,8.782750584902896,7.004967830614938,8.0,81.77429560084695
1,802.2682172587076,821.0416869533693,9.136618715845906,9.35042007414937,8.0,65.86411324382173
1,582.1417990398546,589.9825830658236,6.62971253498951,6.7190071780246745,8.0,56.143940929060825
1,854.3583818363345,803.9269128080552,9.729846719091068,9.155508743487587,8.0,44.68174035302619
1,878.6023405607183,704.5297968196483,10.005948653908174,8.023526283377326,8.0,30.526185667382087
1,720.6788298733525,743.5459231719354,8.207439287117456,8.46786081213152,8.0,46.369981767155046
