layer,x_nm,y_nm,display_z,sampled_intensity,source
1,6.502465326141234,9.356775490676863,8.012315686426662,133.0,intensity-weighted sampled reconstruction pixel
1,7.282139718911054,8.118527146971823,8.06395251672175,59.0,intensity-weighted sampled reconstruction pixel
1,6.8891264759981725,9.711966168632394,8.165586450102738,60.0,intensity-weighted sampled reconstruction pixel
1,7.769956188912249,9.066365655874524,8.199149390888612,32.0,intensity-weighted sampled reconstruction pixel
1,8.616826899001737,6.659243468670175,7.86377588857159,48.0,intensity-weighted sampled reconstruction pixel
1,7.368917577966169,10.344724030956046,8.013129195313528,21.0,intensity-weighted sampled reconstruction pixel
1,9.899688555282424,9.308795313424575,8.153105045144295,14.0,intensity-weighted sampled reconstruction pixel
1,7.566306380108605,9.402786156875633,7.909472955251912,0.0,intensity-weighted sampled reconstruction pixel
1,9.432971069715034,6.840454877331987,7.972312159541015,0.0,intensity-weighted sampled reconstruction pixel
1,9.652688508302516,8.150211744382993,8.223385706695524,0.0,intensity-weighted sampled reconstruction pixel
1,7.503706168441389,7.8706679507507635,8.223121480491601,9.0,intensity-weighted sampled reconstruction pixel
1,8.160917315965802,10.02937967960467,8.186809132951984,37.0,intensity-weighted sampled reconstruction pixel
1,5.90661845592904,8.875240787384811,8.137286238620906,14.0,intensity-weighted sampled reconstruction pixel
1,8.611490685004581,9.557544224410131,7.893800030332491,126.0,intensity-weighted sampled reconstruction pixel
1,9.329354173841311,8.1346554645442,7.917591034070906,18.0,intensity-weighted sampled reconstruction pixel
1,6.03870203074207,7.311673806802952,8.021750106954242,9.0,intensity-weighted sampled reconstruction pixel
1,7.850411237978759,8.535065238956545,8.027957592298526,52.0,intensity-weighted sampled reconstruction pixel
1,9.215737600842283,6.4753753284782825,8.002531296904252,0.0,intensity-weighted sampled reconstruction pixel
1,7.428375359567946,9.576703003816398,8.062868328761502,0.0,intensity-weighted sampled reconstruction pixel
1,8.87839452340361,8.812881992322012,7.957828590411175,118.0,intensity-weighted sampled reconstruction pixel
1,6.181225866889361,9.308989840005196,8.114620112365145,59.0,intensity-weighted sampled reconstruction pixel
1,9.670072281302062,7.801899302563009,7.923432966180044,39.0,intensity-weighted sampled reconstruction pixel
1,9.114457813855427,10.298327836606042,7.922111418595322,18.0,intensity-weighted sampled reconstruction pixel
1,7.192443163263083,9.870436702027503,7.828523942470241,65.0,intensity-weighted sampled reconstruction pixel
1,8.097362033875102,9.37762811638916,7.8568076166133025,0.0,intensity-weighted sampled reconstruction pixel
1,7.176562019731978,7.163342460401293,8.161239604303825,9.0,intensity-weighted sampled reconstruction pixel
