T_K,dG_HEA_mean_kJmol_atom,dG_HEA_plus1sigma,dG_HEA_minus1sigma,dG_HEI_sublattice_upper_bound_entropy,dG_HEI_frozen_zero_entropy,Gap_HEA_minus_HEI_sublattice,Gap_HEA_minus_HEI_frozen
290.0,-16.155862466185315,-13.93187825544224,-18.37984667692839,-30.843540216622976,-30.007884,14.687677750437661,13.852021533814685
300.0,-16.23143334318021,-14.007449132437136,-18.455417553923287,-30.872355948230666,-30.007884,14.640922605050456,13.77645065681979
310.0,-16.307004220175106,-14.083020009432031,-18.530988430918182,-30.901171679838352,-30.007884,14.594167459663247,13.700879779824895
320.0,-16.38257509717,-14.158590886426929,-18.606559307913077,-30.929987411446042,-30.007884,14.547412314276041,13.62530890283
330.0,-16.458145974164896,-14.234161763421824,-18.682130184907972,-30.958803143053732,-30.007884,14.500657168888836,13.549738025835104
340.0,-16.533716851159795,-14.309732640416719,-18.75770106190287,-30.987618874661422,-30.007884,14.453902023501627,13.474167148840205
350.0,-16.60928772815469,-14.385303517411614,-18.833271938897767,-31.016434606269108,-30.007884,14.407146878114418,13.39859627184531
360.0,-16.684858605149586,-14.460874394406511,-18.908842815892662,-31.045250337876798,-30.007884,14.360391732727212,13.323025394850415
370.0,-16.76042948214448,-14.536445271401407,-18.984413692887557,-31.074066069484488,-30.007884,14.313636587340007,13.24745451785552
380.0,-16.836000359139376,-14.612016148396304,-19.059984569882452,-31.102881801092174,-30.007884,14.266881441952798,13.171883640860624
390.0,-16.91157123613427,-14.687587025391199,-19.135555446877348,-31.131697532699864,-30.007884,14.220126296565592,13.096312763865729
400.0,-16.987142113129167,-14.763157902386094,-19.211126323872243,-31.160513264307554,-30.007884,14.173371151178387,13.020741886870834
410.0,-17.062712990124066,-14.83872877938099,-19.286697200867142,-31.189328995915243,-30.007884,14.126616005791178,12.945171009875935
420.0,-17.13828386711896,-14.914299656375887,-19.362268077862037,-31.21814472752293,-30.007884,14.079860860403969,12.86960013288104
430.0,-17.213854744113856,-14.989870533370782,-19.437838954856932,-31.24696045913062,-30.007884,14.033105715016763,12.794029255886144
440.0,-17.28942562110875,-15.065441410365677,-19.513409831851828,-31.27577619073831,-30.007884,13.986350569629558,12.718458378891249
450.0,-17.364996498103647,-15.141012287360574,-19.588980708846723,-31.304591922345995,-30.007884,13.939595424242349,12.642887501896354
460.0,-17.440567375098546,-15.21658316435547,-19.66455158584162,-31.333407653953685,-30.007884,13.89284027885514,12.567316624901455
470.0,-17.51613825209344,-15.292154041350365,-19.740122462836517,-31.362223385561375,-30.007884,13.846085133467934,12.49174574790656
480.0,-17.591709129088336,-15.367724918345262,-19.815693339831412,-31.391039117169065,-30.007884,13.799329988080729,12.416174870911664
490.0,-17.66728000608323,-15.443295795340157,-19.891264216826308,-31.41985484877675,-30.007884,13.75257484269352,12.340603993916769
500.0,-17.742850883078127,-15.518866672335053,-19.966835093821203,-31.44867058038444,-30.007884,13.705819697306314,12.265033116921874
510.0,-17.818421760073022,-15.59443754932995,-20.042405970816098,-31.47748631199213,-30.007884,13.659064551919109,12.189462239926979
520.0,-17.893992637067917,-15.670008426324845,-20.117976847810993,-31.506302043599817,-30.007884,13.6123094065319,12.113891362932083
530.0,-17.969563514062816,-15.74557930331974,-20.193547724805892,-31.535117775207507,-30.007884,13.56555426114469,12.038320485937184
540.0,-18.04513439105771,-15.821150180314635,-20.269118601800788,-31.563933506815196,-30.007884,13.518799115757485,11.96274960894229
550.0,-18.120705268052607,-15.896721057309533,-20.344689478795683,-31.592749238422886,-30.007884,13.47204397037028,11.887178731947394
560.0,-18.196276145047502,-15.97229193430443,-20.420260355790578,-31.621564970030573,-30.007884,13.42528882498307,11.811607854952499
570.0,-18.271847022042397,-16.047862811299325,-20.495831232785473,-31.650380701638262,-30.007884,13.378533679595865,11.736036977957603
580.0,-18.347417899037296,-16.12343368829422,-20.571402109780372,-31.679196433245952,-30.007884,13.331778534208656,11.660466100962704
590.0,-18.42298877603219,-16.199004565289115,-20.646972986775268,-31.708012164853642,-30.007884,13.28502338882145,11.58489522396781
