T_K,dG_HEA_mean_kJmol_atom,dG_HEA_plus1sigma,dG_HEA_minus1sigma,dG_HEI_sublattice_upper_bound_entropy,dG_HEI_frozen_zero_entropy,Gap_HEA_minus_HEI_sublattice,Gap_HEA_minus_HEI_frozen
500.0,-17.742850883078127,-15.518866672335053,-19.966835093821203,-31.44867058038444,-30.007884,13.705819697306314,12.265033116921874
1000.0,-21.52139473282292,-19.297410522079847,-23.745378943565996,-32.889457160768885,-30.007884,11.368062427945965,8.486489267177081
1500.0,-25.299938582567712,-23.07595437182464,-27.52392279331079,-34.330243741153325,-30.007884,9.030305158585612,4.707945417432288
2123.0,-30.007697,-27.745697,-32.269697,-36.125464,-30.007884,6.117767,0.000187
3429.0,-39.877254,-37.615254,-42.139254,-39.888798,-30.007884,0.011545,-9.869370
