pair,omega_per_input_energy_basis
Ga-In,0.2824655612121373
Ga-Sn,-6.33605888149184
Ga-Zn,1.0774815724009335
In-Sn,-4.1213301318415025
In-Zn,-0.5882128014918462
Sn-Zn,-10.009140227878788
