Pt_X,Pt_Y,Ir_X,Ir_Y,Pd_X,Pd_Y,Rh_X,Rh_Y,Ru_X,Ru_Y,Os_X,Os_Y,Ni_X,Ni_Y,Co_X,Co_Y,Fe_X,Fe_Y,Cr_X,Cr_Y,Re_X,Re_Y,Au_X,Au_Y,Zr_X,Zr_Y,W_X,W_Y,Hf_X,Hf_Y,Mo_X,Mo_Y,Ce_X,Ce_Y,La_X,La_Y,Y_X,Y_Y,Sc_X,Sc_Y
0.2646,-8.7796,0.6629,-10.2154,1.7064,-10.4334,3.0356,-9.3276,3.9197,-9.9384,4.9305,-9.1158,6.0508,-8.6253,7.0148,-7.8339,7.9365,-7.5868,8.9791,-5.9393,10.1217,-10.1741,10.9255,-7.532,11.6978,-5.9656,13.1975,-6.6037,13.7697,-5.5939,14.8851,-5.8895,16.1339,-7.5008,16.7602,-8.2441,17.6709,-6.8299,19.0751,-6.405
-0.3347,-11.6341,1.0186,-12.4528,2.2202,-10.3369,3.3329,-9.0729,3.8691,-9.8078,4.9974,-8.5891,5.7927,-7.9776,7.1708,-7.9807,8.1669,-6.8219,8.7461,-5.8719,9.8397,-8.5385,11.3242,-8.4926,11.6515,-5.8662,12.9523,-6.3078,14.2559,-5.6503,15.0203,-5.9199,15.9551,-7.8971,17.1995,-7.4077,17.7611,-6.9311,18.7735,-7.1175
0.2275,-10.8673,0.7862,-10.835,2.0644,-10.4808,2.6674,-8.7767,4.1039,-8.9459,4.7114,-7.8897,5.8849,-8.1258,7.0102,-7.8379,7.8966,-6.695,8.6644,-6.1944,9.7644,-10.7081,10.973,-8.6129,11.6893,-6.1081,13.2976,-6.1104,14.2111,-5.8589,15.328,-5.9096,15.6997,-7.1425,17.3087,-7.9888,17.9686,-7.4401,19.1956,-6.8476
0.0975,-12.1458,1.2379,-11.2389,1.9776,-10.0714,3.1389,-10.9915,3.8145,-9.3259,5.1729,-11.2824,5.8136,-8.4225,7.2101,-8.428,7.7752,-6.6397,9.0233,-5.6893,10.1732,-8.0655,10.6966,-7.6803,11.8346,-6.4421,12.7317,-6.3422,14.1391,-5.937,14.8384,-5.6547,16.2708,-7.7932,17.3237,-7.7429,17.8484,-6.5538,19.3217,-6.7458
0.3382,-9.9331,0.7923,-9.7204,1.9137,-9.0704,2.7953,-9.4666,3.8296,-9.7124,5.1655,-9.5148,6.1156,-7.7147,7.0435,-7.9993,7.7542,-8.0107,8.6885,-6.1281,9.8034,-10.2163,10.8425,-8.501,11.6986,-6.27,13.261,-6.211,14.2082,-5.7869,15.078,-5.7792,16.1644,-6.4415,17.2068,-7.5543,18.2023,-6.8932,19.3063,-7.2979
-0.2658,-10.8654,0.6746,-12.1157,2.0084,-9.1697,2.8725,-9.4636,4.0682,-9.9685,5.2359,-9.5376,5.7862,-9.2211,6.6657,-7.8947,7.9584,-6.8318,9.21,-5.7533,9.6807,-10.7321,10.7545,-9.9976,11.7289,-6.149,13.0288,-6.2992,13.8203,-5.9582,15.3135,-6.0873,16.1007,-8.1461,16.9291,-8.3376,18.183,-7.0958,18.8909,-7.2073
0.291,-11.1818,1.2166,-11.4651,2.016,-10.0661,2.8101,-10.2167,3.8436,-7.8674,4.9601,-10.7192,5.9189,-9.3679,6.9993,-7.8802,7.7626,-6.799,9.0511,-4.9341,10.0157,-8.1504,11.1942,-7.1657,11.8043,-5.8406,13.0265,-6.5321,13.7973,-5.8062,15.0208,-6.3817,16.0344,-7.8755,17.0313,-7.5574,18.1331,-6.5935,19.2493,-6.3578
-0.225,-10.4082,0.7807,-8.8453,1.8875,-10.3502,3.311,-9.0382,3.7067,-8.7193,5.1543,-10.7562,5.7459,-7.5317,7.0228,-7.5274,7.867,-7.0021,9.2309,-6.2385,9.6617,-8.7892,11.1803,-8.6182,11.6977,-6.19,12.8724,-6.6804,14.2934,-5.8334,15.0966,-6.094,16.1911,-8.438,16.9657,-7.3223,18.0442,-7.7024,19.0744,-6.6757
0.2678,-12.9805,0.9613,-11.8507,2.2416,-10.3842,2.9454,-9.1302,3.7199,-11.269,4.985,-10.1719,5.8522,-7.7727,7.3358,-8.1897,7.7299,-7.1758,9.1824,-5.9315,9.7987,-9.6861,11.3413,-7.7799,12.1112,-6.0299,12.8695,-6.3307,13.8531,-5.5121,15.157,-5.8276,15.7004,-7.5885,16.9998,-7.8779,17.6952,-7.4181,18.7098,-7.1543
-0.2057,-12.5912,1.1746,-10.7446,1.8687,-9.7305,2.8204,-10.7995,4.0614,-7.8745,4.9323,-8.1784,6.3481,-8.0912,7.1446,-7.8783,7.6636,-7.5823,9.2446,-5.9727,10.2239,-10.136,11.0866,-8.578,12.27,-6.4783,13.1663,-6.2906,14.3294,-5.5917,15.2996,-6.0542,15.9146,-8.1744,17.0848,-8.4232,18.1924,-7.1534,18.8695,-6.3662
-0.2981,-13.0821,0.9963,-10.4377,2.1418,-9.1641,3.1464,-7.9128,3.7596,-9.9737,5.0581,-10.0439,5.906,-7.6389,6.7367,-7.3348,7.9111,-6.8484,8.7312,-5.7776,9.8335,-10.3841,11.3131,-7.3366,11.6767,-6.2306,13.3145,-6.5378,14.22,-5.6924,14.9986,-6.0742,16.0821,-8.2149,17.0004,-8.2588,18.2858,-7.4939,19.3308,-6.8705
0.1323,-12.3955,0.8639,-11.4994,1.8051,-11.4079,2.8235,-9.9618,4.1465,-10.5217,5.2114,-9.5427,5.8586,-7.9913,6.9294,-7.6525,8.1227,-7.0654,9.182,-6.1871,10.1858,-10.77,10.7041,-8.8819,11.9237,-6.0695,12.8952,-6.0313,13.9192,-5.6577,15.0283,-6.0194,15.8168,-7.9231,16.6872,-7.5419,18.0968,-6.8859,18.9423,-6.2385
0.2509,-10.9569,1.0932,-11.4564,2.1221,-9.3933,3.0868,-7.7646,3.9455,-8.452,5.1949,-9.0081,6.1327,-7.6437,6.7116,-8.19,8.0436,-7.2976,8.9046,-5.3207,10.0447,-10.0866,10.9868,-8.2627,12.3481,-6.1896,13.318,-6.0785,14.0738,-6.0597,15.099,-5.8693,15.6835,-7.8406,17.1446,-8.3777,18.0332,-7.8565,18.7816,-6.7459
0.1062,-12.039,1.3139,-10.7232,1.9618,-11.4098,3.1276,-10.5542,3.8068,-8.1794,5.3294,-11.2159,6.1709,-9.1814,6.9453,-7.6999,7.6965,-7.0465,8.9542,-5.7142,10.0761,-10.173,10.8368,-8.0084,11.7281,-6.557,12.705,-6.541,14.3352,-5.7386,15.2197,-5.8957,15.9817,-7.875,17.3362,-7.7962,18.0615,-6.2201,19.2445,-7.1253
0.1003,-13.5214,1.0272,-10.2937,2.1149,-11.6267,3.178,-10.7165,4.3204,-9.7745,5.2328,-9.0454,6.307,-9.0346,7.267,-8.2139,8.0828,-6.7636,9.0853,-6.1941,9.7371,-9.674,11.1467,-8.2059,12.0729,-6.3424,13.3183,-6.1704,14.3279,-5.8023,14.7557,-6.1777,15.7654,-7.7039,16.9696,-7.6949,17.8859,-6.816,18.8472,-6.4789
-0.1716,-13.1515,0.8083,-11.5597,2.083,-10.4989,2.7755,-9.1058,3.957,-10.4162,4.9126,-9.8512,6.0961,-7.8412,6.9686,-7.9706,7.793,-7.0313,8.8299,-6.2079,9.9312,-10.4542,11.1207,-9.0154,11.6747,-6.2325,12.7076,-6.7612,13.9161,-6.2932,15.3183,-5.7399,15.8718,-7.9166,16.8681,-7.2186,18.1054,-6.7944,19.0353,-6.0717
-0.2094,-10.5161,0.9631,-10.4243,1.9842,-10.2247,3.204,-8.8845,3.7174,-10.4819,4.9682,-9.7478,5.764,-7.5025,6.6661,-8.7424,7.6555,-6.9684,9.1198,-6.31,10.1417,-8.7713,10.9044,-9.0066,11.6502,-5.8738,13.1691,-6.0481,13.9266,-5.713,14.8586,-6.0972,15.7428,-6.7626,17.1848,-6.9182,17.7828,-6.7124,18.9582,-7.0654
-0.3138,-10.6944,0.8165,-11.3636,2.2394,-9.9015,3.2288,-10.336,4.084,-9.0538,4.9139,-11.0049,5.7133,-8.526,7.2642,-6.7524,8.2667,-7.359,8.7301,-5.9803,10.057,-9.9668,11.3341,-8.0945,12.3318,-6.0297,13.2826,-6.3299,13.7549,-5.8028,14.9866,-6.3434,15.9043,-7.6176,16.7537,-7.9689,17.9895,-6.7584,19.1408,-6.7954
-0.345,-11.0996,0.9644,-9.6711,1.7838,-12.0002,2.6844,-9.488,4.1813,-9.1203,5.2668,-10.2067,6.0393,-8.2313,6.7106,-8.5231,8.2189,-6.8948,9.0373,-5.919,10.228,-10.8676,11.2015,-8.0358,12.3171,-6.0841,12.7238,-6.4151,13.9085,-5.8278,15.306,-6.114,16.2337,-7.8023,16.9531,-8.3176,17.9314,-7.5776,19.3154,-7.4643
-0.1846,-13.6051,0.8549,-9.3602,2.0946,-10.9543,2.8946,-10.2235,3.657,-8.9601,5.0052,-10.3668,6.1104,-8.2507,7.2159,-7.899,8.2569,-6.928,8.7442,-6.2904,10.0747,-10.5679,10.8417,-8.9449,11.8792,-6.1814,12.8534,-6.6826,14.1223,-5.7593,14.7913,-6.0225,16.3019,-8.5889,16.9355,-8.2401,18.3077,-6.6846,18.889,-6.8236
0.2933,-12.3952,0.9158,-10.7754,2.0819,-10.2155,2.7324,-9.6833,4.321,-10.8999,5.2053,-10.3892,6.1653,-8.625,6.7631,-8.1218,7.7194,-6.8068,8.9413,-6.1027,9.7891,-8.9973,11.1665,-8.3939,12.2468,-6.3532,13.0359,-6.2646,14.0705,-5.9344,14.8516,-5.4943,16.0072,-8.1704,17.3099,-8.6868,18.125,-6.8643,19.2447,-6.4293
0.3043,-11.0348,0.9816,-10.6241,1.7657,-9.8432,3.2916,-10.6454,4.1145,-8.3449,4.9243,-11.0916,5.7902,-7.3362,6.9814,-8.7165,7.8423,-7.1098,9.2611,-5.8702,9.9223,-9.7994,10.7303,-8.137,11.9684,-6.0166,13.065,-6.4551,14.0209,-6.06,14.7743,-6.2545,15.6675,-7.7727,16.7328,-7.868,17.8181,-7.2588,18.9312,-6.5406
-0.1758,-13.2877,1.0884,-11.8391,2.3284,-11.3741,3.1337,-9.7404,3.8051,-8.8225,5.2273,-9.6608,6.071,-7.0888,7.1857,-7.4045,8.1857,-6.8344,8.8448,-5.8342,9.8345,-10.4726,10.9184,-8.4582,11.8195,-6.1372,12.8963,-6.5337,14.1292,-5.2169,15.0242,-5.8322,16.1,-7.8446,17.0675,-8.1537,17.9066,-6.9022,18.7734,-6.4386
0.3424,-11.5444,1.036,-9.4759,2.3039,-9.6195,2.9517,-10.0897,3.8165,-9.6532,5.1619,-9.6915,6.2409,-8.5568,7.1443,-7.0469,7.8677,-6.7793,9.1901,-5.6637,10.2575,-10.1401,11.2723,-8.3244,11.8159,-6.4041,12.7687,-6.6753,14.0601,-5.6948,15.256,-5.927,15.9909,-8.2897,17.0393,-7.5918,17.8271,-7.2321,19.0342,-6.6326
-0.2471,-11.211,0.9773,-9.9908,1.852,-10.1879,2.6715,-10.9154,4.0143,-10.5349,4.7045,-9.7169,6.2315,-7.2683,6.824,-7.8964,7.823,-6.8403,8.7195,-6.1712,10.0133,-9.266,11.2365,-8.242,11.696,-6.0472,13.2781,-6.3196,13.974,-5.5636,14.7728,-6.0637,15.8643,-8.0111,16.8951,-7.2579,17.9901,-7.2661,19.2345,-7.1142
-0.2792,-11.7217,1.2783,-11.6741,1.8071,-9.9637,2.9536,-9.5837,4.077,-8.9083,4.9737,-9.6199,5.8014,-8.0379,6.804,-7.819,7.979,-6.3698,8.8741,-5.9824,9.851,-9.9764,10.6779,-8.2144,12.2337,-6.3695,13.1027,-6.3542,14.3028,-5.9437,15.0709,-5.8887,16.0105,-7.4986,17.2164,-8.8096,18.1529,-6.9644,19.2644,-7.2114
-0.1424,-11.4786,0.9922,-10.3144,2.3061,-10.7811,2.6796,-9.99,3.8913,-9.7731,5.0878,-7.743,5.6828,-8.9054,7.1102,-7.5993,7.8547,-6.4724,8.661,-5.7611,10.1819,-10.803,11.0735,-7.5129,12.3488,-5.9686,12.9432,-6.4006,13.9339,-5.9887,14.9832,-6.0693,15.7859,-7.3127,17.1488,-8.1876,17.7321,-6.9687,18.7417,-7.2916
