Pt_X,Pt_Y,Ir_X,Ir_Y,Pd_X,Pd_Y,Rh_X,Rh_Y,Ru_X,Ru_Y,Os_X,Os_Y,Ni_X,Ni_Y,Co_X,Co_Y,Fe_X,Fe_Y,Cr_X,Cr_Y,Re_X,Re_Y,Au_X,Au_Y,Zr_X,Zr_Y,W_X,W_Y,Hf_X,Hf_Y,Mo_X,Mo_Y,Ce_X,Ce_Y,La_X,La_Y,Y_X,Y_Y,Sc_X,Sc_Y
0.2646,-4.2439,0.6629,-5.6285,1.7064,-5.6856,3.0356,-4.7644,3.9197,-5.1922,4.9305,-4.3791,6.0508,-3.753,7.0148,-3.1288,7.9365,-2.777,8.9791,-1.2782,10.1217,-5.528,10.9255,-2.8141,11.6978,-1.3534,13.1975,-1.8955,13.7697,-1.0275,14.8851,-1.2854,16.1339,-2.896,16.7602,-3.4551,17.6709,-2.1757,19.0751,-1.8619
-0.3347,-6.9663,1.0186,-7.6825,2.2202,-5.5464,3.3329,-4.3742,3.8691,-5.2041,4.9974,-4.0096,5.7927,-3.4453,7.1708,-3.3295,8.1669,-2.1751,8.7461,-1.3573,9.8397,-4.0322,11.3242,-3.6794,11.6515,-1.2882,12.9523,-1.6524,14.2559,-1.0473,15.0203,-1.1828,15.9551,-3.2388,17.1995,-2.9524,17.7611,-2.2795,18.7735,-2.3215
0.2275,-6.3326,0.7862,-6.0989,2.0644,-5.7761,2.6674,-4.1212,4.1039,-4.2087,4.7114,-3.3924,5.8849,-3.4782,7.0102,-3.1676,7.8966,-2.1678,8.6644,-1.4348,9.7644,-6.0094,10.973,-3.8695,11.6893,-1.4443,13.2976,-1.4724,14.2111,-1.1211,15.328,-1.3245,15.6997,-2.6465,17.3087,-3.1997,17.9686,-2.7428,19.1956,-2.2268
0.0975,-7.318,1.2379,-6.6448,1.9776,-5.2859,3.1389,-6.1284,3.8145,-4.6408,5.1729,-6.5065,5.8136,-3.7642,7.2101,-3.5871,7.7752,-1.9967,9.0233,-1.0092,10.1732,-3.594,10.6966,-2.9617,11.8346,-1.6466,12.7317,-1.7586,14.1391,-1.1878,14.8384,-1.1023,16.2708,-3.0656,17.3237,-3.0648,17.8484,-1.932,19.3217,-2.0621
0.3382,-5.2673,0.7923,-5.1247,1.9137,-4.525,2.7953,-4.7869,3.8296,-5.1553,5.1655,-4.725,6.1156,-3.1847,7.0435,-3.2797,7.7542,-3.0531,8.6885,-1.3168,9.8034,-5.3596,10.8425,-3.7197,11.6986,-1.5968,13.261,-1.5449,14.2082,-1.0871,15.078,-1.1231,16.1644,-1.9181,17.2068,-2.964,18.2023,-2.1343,19.3063,-2.5563
-0.2658,-6.1249,0.6746,-7.3646,2.0084,-4.4651,2.8725,-4.8435,4.0682,-5.3537,5.2359,-4.7476,5.7862,-4.4479,6.6657,-3.2462,7.9584,-2.2016,9.21,-1.1807,9.6807,-5.9306,10.7545,-5.0959,11.7289,-1.4926,13.0288,-1.769,13.8203,-1.2205,15.3135,-1.3628,16.1007,-3.5487,16.9291,-3.4793,18.183,-2.3402,18.8909,-2.3586
0.291,-6.5361,1.2166,-6.7456,2.016,-5.3792,2.8101,-5.5305,3.8436,-3.4879,4.9601,-5.9585,5.9189,-4.6664,6.9993,-3.1331,7.7626,-2.1686,9.0511,-0.7149,10.0157,-3.6169,11.1942,-2.5848,11.8043,-1.2749,13.0265,-1.7592,13.7973,-1.0042,15.0208,-1.5275,16.0344,-3.1657,17.0313,-2.7903,18.1331,-2.0085,19.2493,-1.6486
-0.225,-5.7802,0.7807,-4.2947,1.8875,-5.588,3.311,-4.469,3.7067,-4.1197,5.1543,-5.9176,5.7459,-2.8981,7.0228,-2.8694,7.867,-2.4722,9.2309,-1.5056,9.6617,-4.0655,11.1803,-3.8564,11.6977,-1.4439,12.8724,-1.9045,14.2934,-1.146,15.0966,-1.3215,16.1911,-3.7042,16.9657,-2.6945,18.0442,-2.8003,19.0744,-1.986
0.2678,-8.1332,0.9613,-7.0128,2.2416,-5.6759,2.9454,-4.5487,3.7199,-6.3161,4.985,-5.3562,5.8522,-3.2624,7.3358,-3.4396,7.7299,-2.4453,9.1824,-1.2933,9.7987,-4.9988,11.3413,-3.1212,12.1112,-1.4421,12.8695,-1.5941,13.8531,-1.0404,15.157,-1.1601,15.7004,-2.9041,16.9998,-3.0923,17.6952,-2.579,18.7098,-2.3207
-0.2057,-7.7925,1.1746,-6.0833,1.8687,-5.009,2.8204,-5.8649,4.0614,-3.447,4.9323,-3.6297,6.3481,-3.4329,7.1446,-3.2255,7.6636,-2.8039,9.2446,-1.2505,10.2239,-5.3157,11.0866,-3.7861,12.27,-1.751,13.1663,-1.6023,14.3294,-0.8809,15.2996,-1.3999,15.9146,-3.371,17.0848,-3.6041,18.1924,-2.2003,18.8695,-1.715
